model,status,val_acc,val_f1
XGB_30m_long_V7,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V8,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V9,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V10,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V11,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V12,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V13,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V14,❌ error: AssertionError: after_training should return the model,,
XGB_30m_long_V15,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V1,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V2,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V3,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V4,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V5,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V6,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V7,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V8,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V9,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V10,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V11,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V12,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V13,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V14,❌ error: AssertionError: after_training should return the model,,
XGB_30m_short_V15,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V1,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V2,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V3,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V4,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V5,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V6,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V7,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V8,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V9,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V10,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V11,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V12,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V13,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V14,❌ error: AssertionError: after_training should return the model,,
XGB_15m_long_V15,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V1,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V2,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V3,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V4,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V5,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V6,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V7,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V8,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V9,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V10,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V11,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V12,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V13,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V14,❌ error: AssertionError: after_training should return the model,,
XGB_15m_short_V15,❌ error: AssertionError: after_training should return the model,,
